Study,Year,Country,SampleSize,SpermCount,Fertility,Measure
Aitden et al. ,1982,United Kingdom,35,129.3,NA,1
Assennato et al.,1987,Italy,18,85,NA,3
Belding ,1934,United States,15,119,NA,1
Cooper et al. ,1991,Germany,25,94.2,NA,1
Cottell and Harrison,1995,Ireland,10,159.9,NA,1
Davidson ,1949,United Kingdom,15,143,NA,1
De Castro and Mastrorocco,1984,Brazil,501,66.2,NA,1
De Castro et al.,1990,Brazil,1890,37,NA,1
Dougherty et al. ,1981,United States,132,83,NA,1
el Shoura et al.,1995,Saudi Arabia,50,116.04,NA,1
Eskenazi et al.,1991,United States,48,87,NA,1
Fariss et al. ,1981,United States,112,75,NA,1
Fedder et al. ,1993,Denmark,42,80,NA,1
Figa-Talamanca et al.,1996,Italy,50,62,NA,1
Frick et al. ,1981,Finland,13,43.9,NA,1
Gass et al. ,1979,United States,22,61.7,NA,1
Jelnes ,1988,Denmark,68,70.2,NA,3
Jensen et al. ,1996,Denmark,141,69.2,NA,1
Kolon et al.,1992,United States,10,132.8,NA,1
Levine et al.,1992,United States,142,70.74,NA,1
Milby and Whorton,1980,United States,90,93,NA,3
Nnatu et al.,1991,Nigeria,21,64.4,NA,1
Noack-Fuller et al.,1993,Germany,22,86.5,NA,1
Ratdiffe et al. ,1987,United States,43,68.72,NA,1
Richardson et al. ,1984,United Kingdom,47,130.6,NA,1
Rogers et al. ,1979,United States,21,114,NA,1
Rosenberg et al. ,1985,United States,71,99.2,NA,1
Saaranen et al.,1987,Finland,190,141.07,NA,1
Schrader et al.,1988,United States,45,47.43,NA,1
Shaarawy and Mahmoud,1982,Egypt,45,77.5,NA,1
Sheriff,1987,Libya,10,51.4,NA,1
Sheriff and Legnain,1992,Libya,1250,85,NA,1
Spira,1984,France,52,92.3,NA,1
Stankovic and Mikac-Devic,1976,Yugoslavia,67,55.2,NA,1
Sugkraroek et al.,1991,Canada,20,128.5,NA,1
Venable et al.,1980,United States,63,113.53,NA,1
Vignon et al.,1991,France,20,76.5,NA,1
Vogt et al.,1986,Germany,239,62.69,NA,1
Wallace et al.,1993,United Kingdom,28,86.5,NA,1
Wang and Yeung,1980,Hong Kong,15,88.9,NA,1
Ward et al.,1984,United States,11,87.4,NA,1
Weidner et al.,1991,Germany,42,52,NA,3
Weyandt et al.,1996,United States,31,38,NA,1
Wickings et al.,1983,Germany,25,84.7,NA,1
Wyrobek et al. 1,1981,United States,26,66.2,NA,1
Wyrobek et al. 2,1981,United States,34,128.7,NA,1
Zhong et al.,1990,China,19,96.6,NA,1
